FEATURE,FEATURE2,NAME,POP 2010,COUNTY,COUNTY FIPS,STATE,STATE FIPS,LATITUDE,LONGITUDE
Civil,-999,De Beque,504,Mesa,077,CO,08,39.3344233,-108.2150816
Civil,-999,Crawford,431,Delta,029,CO,08,38.7038767,-107.6089466
Civil,County Seat,San Rafael,57713,Marin,041,CA,06,37.9735346,-122.5310874
Civil,County Seat,San Francisco,805235,San Francisco,075,CA,06,37.7749295,-122.4194155
Civil,-999,Kildare,100,Kay,071,OK,40,36.8137039,-97.07298789
Civil,-999,Eagar,4885,Apache,001,AZ,04,34.1111581,-109.291475
Civil,-999,San Juan Bautista,1862,San Benito,069,CA,06,36.8455108,-121.5379974
Civil,-999,Sand City,334,Monterey,053,CA,06,36.6171819,-121.8482855
Civil,-999,Spencer,3912,Oklahoma,109,OK,40,35.5267856,-97.40104089
Civil,-999,Luther,1221,Oklahoma,109,OK,40,35.6656733,-97.21937109
Civil,-999,Rentiesville,128,McIntosh,091,OK,40,35.5254355,-95.51876119
Civil,-999,Tecumseh,6457,Pottawatomie,125,OK,40,35.2617972,-96.96047189
Civil,-999,Johnson,247,Pottawatomie,125,OK,40,35.409573,-96.86547129
Civil,-999,Headrick,94,Jackson,065,OK,40,34.6315188,-99.16191969
Civil,-999,Indiahoma,344,Comanche,031,OK,40,34.6237414,-98.77524039
Civil,-999,Empire City,955,Stephens,137,OK,40,34.4243088,-98.05076429
Civil,-999,Haworth,297,McCurtain,089,OK,40,33.8504477,-94.67649449
Civil,-999,Quartzsite,3677,La Paz,012,AZ,04,33.6639137,-114.2299486
Civil,-999,Leon,91,Love,085,OK,40,33.8832159,-97.45297029
Civil,-999,Pottsboro,2160,Grayson,181,TX,48,33.759271,-96.6694402
Civil,-999,Rocky Mound,75,Camp,063,TX,48,33.0190118,-95.0221591
Civil,-999,Tuscola,742,Taylor,441,TX,48,32.2095777,-99.7967542
Civil,-999,Seven Points,1455,Henderson,213,TX,48,32.3204226,-96.2130315
Civil,-999,Richland,264,Navarro,349,TX,48,31.9268257,-96.4294257
Civil,-999,Snook,511,Burleson,051,TX,48,30.488816,-96.4644102
Civil,-999,Waller,2326,Waller,473,TX,48,30.0566085,-95.9268986
Civil,-999,Stafford,17693,Fort Bend,157,TX,48,29.6160671,-95.5577221
Civil,-999,Texas City,45099,Galveston,167,TX,48,29.383845,-94.9027002
Civil,-999,Sunburst,375,Toole,101,MT,30,48.8827754,-111.9114244
Civil,-999,Spangle,278,Spokane,063,WA,53,47.4273936,-117.3801986
Civil,-999,Washtucna,208,Adams,001,WA,53,46.7565354,-118.3105282
Civil,-999,Peetz,238,Logan,075,CO,08,40.9627642,-103.1124241
Census,-999,Dobbins,624,Yuba,115,CA,06,39.3715577,-121.2060694
Civil,-999,Seibert,181,Kit Carson,063,CO,08,39.2991591,-102.8690977
Civil,-999,Marble,131,Gunnison,051,CO,08,39.0722106,-107.1889377
Civil,County Seat,Cheyenne Wells,846,Cheyenne,017,CO,08,38.8213951,-102.3532435
Civil,-999,Mammoth Lakes,8234,Mono,051,CA,06,37.648546,-118.972079
Civil,-999,New Harmony,207,Washington,053,UT,49,37.4794243,-113.3096739
Civil,-999,Toquerville,1370,Washington,053,UT,49,37.2533157,-113.2846707
Civil,-999,North Enid,860,Garfield,047,OK,40,36.439536,-97.89272969
Census,-999,Cherokee City,72,Benton,007,AR,05,36.2984132,-94.5777195
Civil,-999,Cashion,802,Kingfisher,073,OK,40,35.8020499,-97.70244039
Civil,-999,Shamrock,101,Creek,037,OK,40,35.9140164,-96.60768809
Civil,-999,Webbers Falls,616,Muskogee,101,OK,40,35.514877,-95.15374279
Civil,-999,Wanette,350,Pottawatomie,125,OK,40,34.9659698,-97.05630559
Civil,-999,Norge,145,Grady,051,OK,40,34.9923463,-98.02077169
Civil,-999,Melrose,651,Curry,009,NM,35,34.4303525,-103.63246
Civil,-999,Jenkinsville,46,Fairfield,039,SC,45,34.2673706,-81.2884285
Civil,-999,Caddo,997,Bryan,013,OK,40,34.1307069,-96.28710599
Census,-999,Vaiva Vo,128,Pinal,021,AZ,04,32.7178334,-111.9265208
Civil,-999,Cusseta,123,Chambers,017,AL,01,32.7848521,-85.3057779
Civil,-999,Winona,576,Smith,423,TX,48,32.4895892,-95.167169
Census,-999,San Simon,165,Cochise,003,AZ,04,32.2678563,-109.2275596
Civil,County Seat,San Saba,3099,San Saba,411,TX,48,31.1957234,-98.718098
Civil,-999,Bailey's Prairie,727,Brazoria,039,TX,48,29.1524086,-95.4977491
Census,-999,Hackberry,68,Mohave,015,AZ,04,35.3691614,-113.7271643
Census,-999,Ele'ele,2390,Kauai,007,HI,15,21.9054346,-159.5819445
Civil,-999,Port Heiden,102,Lake and Peninsula,164,AK,02,56.9325614,-158.6249699
Civil,-999,Mountain Village,813,Wade Hampton,270,AK,02,62.0855556,-163.7294444
Census,-999,Tununak,327,Bethel,050,AK,02,60.5855556,-165.2558333
Census,-999,Mertarvik,0,Bethel,050,AK,02,60.8109892,-164.4991078
Civil,County Seat,Anchorage,291826,Anchorage,020,AK,02,61.2180556,-149.9002778
Census,-999,Beluga,20,Kenai Peninsula,122,AK,02,61.1411111,-151.0827778
Civil,-999,Nikolai,94,Yukon-Koyukuk,290,AK,02,63.0133333,-154.375
Civil,County Seat,Fairbanks,31535,Fairbanks North Star,090,AK,02,64.8377778,-147.7163889
Populated Place,-999,El Ojo,1478,Santa Isabel,133,PR,72,18.0038537,-66.3915585
Populated Place,-999,Buena Vista,1660,Arroyo,015,PR,72,17.9963547,-66.0518311
Populated Place,-999,CorazÃ³n,2131,Guayama,057,PR,72,17.9927436,-66.0848873
Populated Place,-999,Luquillo,7761,Luquillo,089,PR,72,18.3724507,-65.7165511
Populated Place,-999,Las Piedras,5883,Las Piedras,085,PR,72,18.183014,-65.8662742
Populated Place,-999,Toa Baja,1513,Dorado,051,PR,72,18.4438353,-66.2596126
Census,-999,Conkling Park,43,Kootenai,055,ID,16,47.4043499,-116.7582314
Census,-999,Southworth,2185,Kitsap,035,WA,53,47.5120421,-122.5017972
Census,-999,Roy,108,Fergus,027,MT,30,47.3313687,-108.959881
Census,-999,Sutton,17,Griggs,039,ND,38,47.4019396,-98.4392642
Census,-999,Caledonia,39,Traill,097,ND,38,47.4574751,-96.8856372
Census,-999,Home,1377,Pierce,053,WA,53,47.274818,-122.7637451
Census,-999,Alsea,164,Benton,003,OR,41,44.3815098,-123.5964942
Census,-999,Chester,261,Lake,079,SD,46,43.8949736,-96.926445
Census,-999,Naples,428,Cumberland,005,ME,23,43.971739,-70.6092258
Census,-999,Taycheedah,704,Fond du Lac,039,WI,55,43.8088785,-88.3951057
Census,-999,Wacousta,1440,Clinton,037,MI,26,42.8278123,-84.7008204
Census,-999,Linwood,74,Livingston,051,NY,36,42.8947837,-77.9491748
Census,-999,Aten,112,Cedar,027,NE,31,42.8399983,-97.4408942
Census,-999,Bow Valley,116,Cedar,027,NE,31,42.7147205,-97.2494975
Census,-999,Freedom Plains,421,Dutchess,027,NY,36,41.6725937,-73.7995767
Census,-999,River Sioux,59,Harrison,085,IA,19,41.8058213,-96.0464013
Census,-999,Montrose,2731,Westchester,119,NY,36,41.2523162,-73.9315275
Census,-999,Oak Beach,286,Suffolk,103,NY,36,40.6392669,-73.2884524
Census,-999,Peoa,253,Summit,043,UT,49,40.7246718,-111.3418577
Census,-999,Allenwood,321,Union,119,PA,42,41.1075825,-76.8982974
Census,-999,Marksboro,82,Warren,041,NJ,34,40.9884308,-74.9073928
Census,-999,Willow Island,26,Dawson,047,NE,31,40.8886183,-100.0715134
Census,-999,Bartlett,50,Fremont,071,IA,19,40.8850003,-95.7950038
Census,-999,Inland,62,Clay,035,NE,31,40.596957,-98.2225538
Census,-999,Refton,298,Lancaster,071,PA,42,39.9473225,-76.2327348
Census,-999,Garretts Mill,234,Washington,043,MD,24,39.3523231,-77.6844359
Census,-999,Sandy Hook,188,Washington,043,MD,24,39.3259343,-77.7105477
Census,-999,Bowling Green,1077,Allegany,001,MD,24,39.6236993,-78.8044642
Census,-999,Woodland,113,Allegany,001,MD,24,39.6084216,-78.9508581
